Wavenumber,Absorbance
2381.35718,9.03E-04
2379.42861,9.10E-04
2378,9.11E-04
2376.07144,9.10E-04
2374.14287,9.08E-04
2372.21431,9.07E-04
2370.28574,9.03E-04
2368.35718,8.94E-04
2366.42861,8.88E-04
2364,8.92E-04
2362.07144,9.01E-04
2360.14287,9.08E-04
2358.21431,9.07E-04
2356.28574,9.01E-04
2354.35718,8.96E-04
2352.42861,8.95E-04
2351,8.97E-04
2349.07144,8.98E-04
2347.14287,8.99E-04
2345.21431,9.00E-04
2343.28574,9.07E-04
2341.35718,9.11E-04
2339.42861,9.09E-04
2337,9.07E-04
2335.07144,9.04E-04
2333.14287,9.01E-04
2331.21431,9.03E-04
2329.28574,9.10E-04
2327.35718,9.16E-04
2325.42861,9.16E-04
2324,9.09E-04
2322.07144,8.98E-04
2320.14287,8.91E-04
2318.21431,8.91E-04
2316.28574,8.95E-04
2314.35718,9.01E-04
2312.42861,9.05E-04
2310,9.02E-04
2308.07144,8.97E-04
2306.14287,8.96E-04
2304.21431,8.99E-04
2302.28574,9.01E-04
2300.35718,8.97E-04
2298.42861,8.93E-04
2297,8.94E-04
2295.07144,8.97E-04
2293.14287,8.96E-04
2291.21431,8.94E-04
2289.28574,9.00E-04
2287.35718,9.07E-04
2285.42861,9.05E-04
2283,8.99E-04
2281.07144,8.97E-04
2279.14287,9.00E-04
2277.21431,9.01E-04
2275.28574,9.00E-04
2273.35718,8.99E-04
2271.42861,8.98E-04
2270,8.94E-04
2268.07144,8.92E-04
2266.14287,8.94E-04
2264.21431,8.94E-04
2262.28574,8.95E-04
2260.35718,8.99E-04
2258.42861,9.00E-04
2256,8.95E-04
2254.07144,8.95E-04
2252.14287,9.03E-04
2250.21431,9.10E-04
2248.28574,9.10E-04
2246.35718,9.02E-04
2244.42861,8.93E-04
2243,8.89E-04
2241.07144,8.91E-04
2239.14287,8.94E-04
2237.21431,8.95E-04
2235.28574,8.96E-04
2233.35718,8.99E-04
2231.42861,9.03E-04
2229,9.06E-04
2227.07144,9.04E-04
2225.14287,9.01E-04
2223.21431,9.01E-04
2221.28574,9.02E-04
2219.35718,9.00E-04
2217.42861,8.92E-04
2216,8.84E-04
2214.07144,8.81E-04
2212.14287,8.80E-04
2210.21431,8.76E-04
2208.28574,8.74E-04
2206.35718,8.77E-04
2204,8.82E-04
2202.07144,8.86E-04
2200.14287,8.90E-04
2198.21431,8.90E-04
2196.28574,8.86E-04
2194.35718,8.79E-04
2192.42861,8.74E-04
2191,8.75E-04
2189.07144,8.73E-04
2187.14287,8.64E-04
2185.21431,8.52E-04
2183.28574,8.38E-04
2181.35718,8.20E-04
2179,8.07E-04
2177.07144,7.93E-04
2175.14287,7.60E-04
2173.21431,7.03E-04
2171.28574,6.56E-04
2169.35718,6.67E-04
2168,7.37E-04
2166.07144,8.13E-04
2164.14287,8.66E-04
2162.21431,9.04E-04
2160.28574,9.31E-04
2158.35718,9.39E-04
2156.42861,9.24E-04
2154,9.01E-04
2152.07144,8.87E-04
2150.14287,8.84E-04
2148.21431,8.90E-04
2146.28574,9.00E-04
2144.35718,9.08E-04
2142.42861,9.08E-04
2141,9.06E-04
2139.07144,9.07E-04
2137.14287,9.06E-04
2135.21431,9.02E-04
2133.28574,9.01E-04
2131.35718,9.02E-04
2129.42861,9.02E-04
2127,9.01E-04
2125.07144,9.01E-04
2123.14287,8.99E-04
2121.21431,8.93E-04
2119.28574,8.92E-04
2117.35718,8.96E-04
2115.42861,8.99E-04
2114,8.96E-04
2112.07144,8.95E-04
2110.14287,8.98E-04
2108.21431,8.99E-04
2106.28574,8.96E-04
2104.35718,8.93E-04
2102.42861,8.95E-04
2100,9.03E-04
2098.07144,9.08E-04
2096.14287,9.04E-04
2094.21431,8.96E-04
2092.28574,8.91E-04
2090.35718,8.88E-04
2088.42861,8.91E-04
2087,8.93E-04
2085.07144,8.90E-04
2083.14287,8.83E-04
2081.21431,8.80E-04
2079.28574,8.84E-04
2077.35718,8.89E-04
2075.42861,8.93E-04
2073,8.95E-04
2071.07144,8.94E-04
2069.14287,8.92E-04
2067.21431,8.90E-04
2065.28574,8.86E-04
2063.35718,8.82E-04
2061.42861,8.85E-04
2060,8.90E-04
2058.07144,8.91E-04
2056.14287,8.85E-04
2054.21431,8.80E-04
2052.28574,8.78E-04
2050.35718,8.81E-04
2048.42861,8.85E-04
2046,8.86E-04
2044.07144,8.81E-04
2042.14287,8.77E-04
2040.21431,8.76E-04
2038.28574,8.76E-04
2036.35718,8.76E-04
2035,8.74E-04
2033.07144,8.70E-04
2031.14287,8.69E-04
2029.21431,8.70E-04
2027.28574,8.72E-04
2025.35718,8.76E-04
2023,8.80E-04
2021.07144,8.78E-04
2019.14287,8.79E-04
2017.21431,8.81E-04
2015.28574,8.83E-04
2013.35718,8.82E-04
2011,8.77E-04
2009.07144,8.73E-04
2007.14287,8.76E-04
2005.21431,8.83E-04
2003.28574,8.83E-04
2001.35718,8.77E-04
2000,8.77E-04
1998.07144,8.79E-04
1996.14287,8.78E-04
1994.21431,8.77E-04
1992.28574,8.79E-04
1990.35718,8.79E-04
1988,8.76E-04
1986.07144,8.72E-04
1984.14287,8.70E-04
1982.21431,8.72E-04
1980.28574,8.76E-04
1978.35718,8.79E-04
1977,8.83E-04
1975.07144,8.85E-04
1973.14287,8.88E-04
1971.21431,8.86E-04
1969.28574,8.77E-04
1967.35718,8.68E-04
1965.42861,8.66E-04
1963,8.74E-04
1961.07144,8.83E-04
1959.14287,8.85E-04
1957.21431,8.84E-04
1955.28574,8.86E-04
1953.35718,8.85E-04
1951.42861,8.82E-04
1950,8.81E-04
1948.07144,8.80E-04
1946.14287,8.79E-04
1944.21431,8.81E-04
1942.28574,8.85E-04
1940.35718,8.87E-04
1938.42861,8.87E-04
1936,8.87E-04
1934.07144,8.90E-04
1932.14287,8.93E-04
1930.21431,8.90E-04
1928.28574,8.83E-04
1926.35718,8.82E-04
1924.42861,8.86E-04
1923,8.85E-04
1921.07144,8.81E-04
1919.14287,8.78E-04
1917.21431,8.79E-04
1915.28574,8.81E-04
